iter	Passed	Remaining
723	3402	1296
724	3406	1291
725	3409	1286
726	3414	1282
727	3418	1277
728	3421	1272
729	3426	1267
730	3429	1262
731	3433	1256
732	3436	1251
733	3440	1246
734	3444	1241
735	3448	1236
736	3452	1231
737	3456	1226
738	3459	1221
739	3463	1216
740	3467	1211
741	3471	1206
742	3474	1201
743	3478	1196
744	3482	1192
745	3486	1186
746	3489	1181
747	3493	1177
748	3497	1172
749	3501	1167
750	3506	1162
751	3509	1157
752	3514	1152
753	3518	1147
754	3522	1142
755	3526	1138
756	3529	1133
757	3533	1128
758	3537	1123
759	3541	1118
760	3545	1113
761	3548	1108
762	3553	1103
763	3556	1098
764	3560	1093
765	3564	1088
766	3568	1083
767	3571	1078
768	3575	1074
769	3579	1069
770	3584	1064
771	3588	1059
772	3592	1054
773	3596	1050
774	3599	1045
775	3603	1040
776	3607	1035
777	3611	1030
778	3615	1025
779	3619	1020
780	3622	1015
781	3626	1011
782	3630	1006
783	3634	1001
784	3638	996
785	3642	991
786	3646	986
787	3649	981
788	3654	977
789	3659	972
790	3663	968
791	3667	963
792	3671	958
793	3675	953
794	3678	948
795	3683	944
796	3686	939
797	3690	934
798	3694	929
799	3698	924
800	3702	919
801	3705	914
802	3709	910
803	3713	905
804	3716	900
805	3720	895
806	3724	890
807	3728	885
808	3732	881
809	3735	876
810	3739	871
811	3743	866
812	3746	861
813	3751	857
814	3754	852
815	3758	847
816	3762	842
817	3766	837
818	3770	833
819	3773	828
820	3778	823
821	3781	818
822	3785	814
823	3789	809
824	3793	804
825	3797	799
826	3801	795
827	3804	790
828	3808	785
829	3812	780
830	3815	776
831	3819	771
832	3823	766
833	3827	761
834	3831	757
835	3835	752
836	3839	747
837	3843	742
838	3847	738
839	3851	733
840	3854	728
841	3858	724
842	3861	719
843	3865	714
844	3870	709
845	3873	705
846	3877	700
847	3881	695
848	3884	690
849	3888	686
850	3892	681
851	3896	676
852	3899	672
853	3903	667
854	3907	662
855	3910	657
856	3914	653
857	3918	648
858	3921	643
859	3925	639
860	3929	634
861	3933	629
862	3936	624
863	3940	620
864	3944	615
865	3948	611
866	3952	606
867	3956	601
868	3960	596
869	3963	592
870	3967	587
871	3971	583
872	3975	578
873	3979	573
874	3983	569
875	3986	564
876	3990	559
877	3994	555
878	3998	550
879	4002	545
880	4006	541
881	4010	536
882	4013	531
883	4018	527
884	4022	522
885	4026	518
886	4031	513
887	4035	508
888	4039	504
889	4043	499
890	4047	495
891	4051	490
892	4055	485
893	4059	481
894	4063	476
895	4067	472
896	4071	467
897	4075	462
898	4079	458
899	4083	453
900	4086	449
901	4090	444
902	4094	439
903	4098	435
904	4118	432
905	4124	427
906	4129	423
907	4148	420
908	4152	415
909	4156	411
910	4160	406
911	4164	401
912	4168	397
913	4173	392
914	4177	388
915	4181	383
916	4186	378
917	4190	374
918	4194	369
919	4199	365
920	4203	360
921	4207	355
922	4211	351
923	4215	346
924	4219	342
925	4223	337
926	4227	332
927	4232	328
928	4236	323
929	4240	319
930	4244	314
931	4249	310
932	4252	305
933	4257	300
934	4261	296
935	4264	291
936	4268	287
937	4272	282
938	4276	277
939	4280	273
940	4284	268
941	4288	264
942	4292	259
943	4296	254
944	4300	250
945	4304	245
946	4308	241
947	4312	236
948	4315	231
949	4320	227
950	4324	222
951	4327	218
952	4331	213
953	4335	209
954	4339	204
955	4344	199
956	4347	195
957	4351	190
958	4355	186
959	4359	181
960	4363	177
961	4366	172
962	4370	167
963	4375	163
964	4378	158
965	4382	154
966	4387	149
967	4391	145
968	4395	140
969	4400	136
970	4403	131
971	4407	126
972	4411	122
973	4418	117
974	4424	113
975	4430	108
976	4435	104
977	4441	99
978	4447	95
979	4452	90
980	4458	86
981	4463	81
982	4467	77
983	4471	72
984	4475	68
985	4479	63
986	4483	59
987	4487	54
988	4490	49
989	4496	45
990	4500	40
991	4503	36
992	4508	31
993	4512	27
994	4515	22
995	4520	18
996	4523	13
997	4527	9
998	4532	4
999	4535	0
